Type de terminal;Lieu;Service;Indicateur;Usage;Bouygues Telecom;Bouygues Telecom Precision statistique;Free Mobile;Free Mobile Precision statistique;Orange;Orange Precision statistique;SFR;SFR Precision statistique;Moyenne;Moyenne Precision statistique
2G/3G;Lieux de vie / Zone dense;Streaming video;Taux de videos 720p de 2 min visionnees avec une qualite correcte;A l'exterieur des batiments;0.914705882353;0.0296904574705;0.591176470587999;0.0522568376503;0.944117647059;0.0244155781405;0.85;0.0379552367928;0.8250000000000001;0.020194477259
2G/3G/4G;Lieux de vie / Zone rurale;Envoi de fichier;Debit moyen;A l'interieur des batiments;1.5649653295100001;;0.794513180516;;1.8291756447;;1.43795689655;;1406.65276282;
2G/3G/4G;Transports / Autres grandes lignes;SMS;Taux de SMS recus en moins de 30s;En train;0.77450025216;0.0229036453969;0.800985063205999;0.021881437237;0.838518709153;0.0201668600219;0.897469736988;0.0166248119414;0.827868440377;0.0103443145666
2G/3G/4G;Lieux de vie / Toutes zones;Envoi de fichier;Taux de fichiers de 2 Mo envoyés en moins de 2 min;A l'interieur des batiments;0.755755755756;0.0188415044883;0.817817817818;0.0169275424432;0.842842842842999;0.0159607413996;0.779559118236;0.0181795561154;0.798993883663;0.00878737267589
2G/3G;Lieux de vie / Zone intermediaire;Telechargement de fichier;Taux de fichiers de 10 Mo reçus en moins de 2 min;A l'interieur et a l'exterieur;0.848387096774;0.0199622889745;0.783870967741999;0.0229099463986;0.958064516129;0.0111566404153;0.816129032257999;0.021561611836;0.851612903226;0.00989314600556
2G/3G/4G;Lieux de vie / Toutes zones;Chargement de page web;Taux de pages web chargées en moins de 5s;A l'exterieur des batiments;0.737900373850999;0.00866424784592;0.595432959483;0.0096696440115;0.808729918157;0.00774861490848;0.743988684582999;0.00859827927082;0.721512984018;0.00441563692833
2G/3G/4G;Transports / Metro;Chargement de page web;Taux de pages web chargées en moins de 5s;En train;;;;;;;;;0.127880951519999;0.00510873311482
2G/3G;Lieux de vie / Zone intermediaire;Envoi de fichier;Taux de fichiers de 2 Mo envoyés en moins de 2 min;A l'exterieur des batiments;0.912903225806;0.022195944623;0.945161290323;0.017920775678900002;0.961290322581;0.0151843878348;0.861290322581;0.0272074845512;0.920161290323;0.0106676550849
2G/3G;Lieux de vie / Zone rurale;Streaming video;Taux de videos 720p de 2 min visionnees avec une qualite parfaite;A l'exterieur des batiments;0.401146131805;0.051404317564400004;0.311428571429;0.0485670349005;0.618911174785;0.0509348619085;0.426934097420999;0.051876488245;0.439604993859999;0.026027730736800002
2G/3G;Lieux de vie / Zone intermediaire;Envoi de fichier;Taux de fichiers de 2 Mo envoyés en moins de 2 min;A l'interieur et a l'exterieur;0.853225806452;0.019697090098;0.925806451613;0.0145877530031;0.920967741935;0.0150165315681;0.793548387096999;0.0225289564492;0.873387096774;0.00925459893323
2G/3G;Lieux de vie / Toutes zones;Chargement de page web;Taux de pages web chargées en moins de 5s;A l'exterieur des batiments;0.617421180275;0.00957585257697;0.562247372676;0.00977472000722;0.595796281326;0.00966886005771;0.580638641876;0.00972239811311;0.589025869038;0.00484697365987
2G/3G;Lieux de vie / Zone intermediaire;Appels vocaux;Taux d'appels maintenus pendant 2 min;A l'interieur, a l'exterieur et en voiture;0.972207375734999;0.010536454589900001;0.978621058257999;0.00927151373959;0.985569214324;0.00764431929646;0.973796791444;0.0102445772026;0.977548564839;0.0047486434699
2G/3G/4G;Lieux de vie / Zone intermediaire;Telechargement de fichier;Taux de fichiers de 10 Mo reçus en moins de 2 min;A l'interieur des batiments;0.832258064515999;0.0294110180422;0.716129032258;0.0354908463487;0.945161290323;0.017920775678900002;0.829032258065;0.029634870190400002;0.83064516129;0.014761714633600001
2G/3G;Lieux de vie / Zone intermediaire;Appels vocaux;Taux d'appels maintenus 2 min et de qualite audio parfaite;A l'interieur des batiments;0.932692307692;0.0278022741959;0.932692307692;0.0278022741959;0.971153846154;0.0185723452897;0.932692307692;0.0278022741959;0.942307692307999;0.012936121990800001
2G/3G/4G;Lieux de vie / Zone intermediaire;Appels vocaux;Taux d'appels maintenus 2 min et de qualite audio parfaite;En voiture;0.935691318328;0.027263209455600002;0.91961414791;0.030218194256500002;0.9549839228299991;0.023043992771;0.96463022508;0.020529220421999003;0.943729903536999;0.0128058546834
2G/3G;Lieux de vie / Zone rurale;Chargement de page web;Taux de pages web chargées en moins de 5s;A l'interieur et a l'exterieur;0.370279264939999;0.0113868312277;0.414267110404;0.0116159363426;0.401244392997;0.0115582870344;0.400811476598;0.0115562255013;0.396650561234;0.00576796594845
2G/3G/4G;Lieux de vie / Zone intermediaire;Streaming video;Taux de videos 720p de 2 min visionnees avec une qualite correcte;A l'interieur des batiments;0.712903225806;0.0503621973784;0.509677419355;0.0556498333408;0.896774193548;0.033869666294800004;0.68064516129;0.0519005972499;0.7000000000000001;0.0255067353534
2G/3G;Lieux de vie / Zone intermediaire;Chargement de page web;Taux de pages web chargées en moins de 10s;A l'interieur des batiments;0.760142810776;0.0150776684247;0.742616033755;0.0154377188591;0.874716001298;0.0116893822612;0.7147030185000001;0.0159448933499;0.773044466082;0.00739524987344
2G/3G;Lieux de vie / Zone rurale;Chargement de page web;Taux de pages web chargées en moins de 10s;A l'exterieur des batiments;0.639467592593;0.016008499569200002;0.630787037037;0.016089741052500002;0.735821759259;0.0146995499894;0.677083333333;0.0155896188278;0.670789930556;0.00783373779903
2G/3G;Lieux de vie / Zone dense;Appels vocaux;Taux d'appels maintenus pendant 2 min;En voiture;0.979411764706;0.015094155943900001;0.964705882353;0.0196139579854;0.976470588235;0.0161120845098;0.970588235294;0.0179595175409;0.972794117647;0.00864626402057
2G/3G/4G;Lieux de vie / Toutes zones;Appels vocaux;Taux d'appels maintenus pendant 2 min;A l'exterieur des batiments;0.970119521912;0.010531630363500001;0.979083665338999;0.00885201025588;0.986041874377;0.00726050511075;0.970119521912;0.010531630363500001;0.976341145885;0.00470122401301
2G/3G/4G;Lieux de vie / Zone dense;Appels vocaux;Taux d'appels maintenus 2 min et de qualite audio parfaite;A l'interieur des batiments;0.9500000000000001;0.0231666596135;0.952941176471;0.0225097251525;0.985294117647;0.012795141748;0.988235294117999;0.011461391042700001;0.969117647058999;0.00919454111425
2G/3G;Lieux de vie / Zone rurale;Appels vocaux;Taux d'appels maintenus 2 min et de qualite audio parfaite;A l'interieur, a l'exterieur et en voiture;0.831833254382;0.0225479351308;0.839412600662999;0.0221341094058;0.875888204642;0.019876936286500002;0.83514921838;0.0223689769767;0.845570819517;0.0108925173154
2G/3G;Lieux de vie / Zone intermediaire;Appels vocaux;Taux d'appels maintenus 2 min et de qualite audio correcte;A l'interieur des batiments;0.961538461537999;0.021339067181999002;0.971153846154;0.0185723452897;0.983974358974;0.013934082265400001;0.961538461537999;0.021339067181999002;0.969551282050999;0.00953276038608
2G/3G/4G;Lieux de vie / Zone dense;Appels vocaux;Taux d'appels maintenus pendant 2 min;A l'interieur, a l'exterieur et en voiture;0.977450980392;0.00911102652235;0.975980392156999;0.00939635655243;0.991666666667;0.00557889541702;0.991176470588;0.00573921700636;0.984068627451;0.0038420700592000003
2G/3G;Lieux de vie / Zone dense;Appels vocaux;Taux d'appels maintenus 2 min et de qualite audio correcte;A l'interieur, a l'exterieur et en voiture;0.981372549019999;0.00829754569808;0.973039215685999;0.00994002366474;0.992156862745;0.00541366108002;0.981372549019999;0.00829754569808;0.981985294118;0.00408123939204
